objectid,title,prompt_sha256,google__gemini-2.5-flash-lite__content,meta-llama__llama-4-maverick__content,openai__gpt-4o-mini__content,qwen__qwen3-vl-8b-instruct__content,google__gemini-2.5-flash-lite__finish_reason,meta-llama__llama-4-maverick__finish_reason,openai__gpt-4o-mini__finish_reason,qwen__qwen3-vl-8b-instruct__finish_reason,google__gemini-2.5-flash-lite__usage_prompt_tokens,meta-llama__llama-4-maverick__usage_prompt_tokens,openai__gpt-4o-mini__usage_prompt_tokens,qwen__qwen3-vl-8b-instruct__usage_prompt_tokens,google__gemini-2.5-flash-lite__usage_completion_tokens,meta-llama__llama-4-maverick__usage_completion_tokens,openai__gpt-4o-mini__usage_completion_tokens,qwen__qwen3-vl-8b-instruct__usage_completion_tokens,google__gemini-2.5-flash-lite__usage_total_tokens,meta-llama__llama-4-maverick__usage_total_tokens,openai__gpt-4o-mini__usage_total_tokens,qwen__qwen3-vl-8b-instruct__usage_total_tokens,google__gemini-2.5-flash-lite__usage_cost,meta-llama__llama-4-maverick__usage_cost,openai__gpt-4o-mini__usage_cost,qwen__qwen3-vl-8b-instruct__usage_cost,google__gemini-2.5-flash-lite__provider,meta-llama__llama-4-maverick__provider,openai__gpt-4o-mini__provider,qwen__qwen3-vl-8b-instruct__provider,google__gemini-2.5-flash-lite__created,meta-llama__llama-4-maverick__created,openai__gpt-4o-mini__created,qwen__qwen3-vl-8b-instruct__created,google__gemini-2.5-flash-lite__id,meta-llama__llama-4-maverick__id,openai__gpt-4o-mini__id,qwen__qwen3-vl-8b-instruct__id,google__gemini-2.5-flash-lite__request_started_utc,meta-llama__llama-4-maverick__request_started_utc,openai__gpt-4o-mini__request_started_utc,qwen__qwen3-vl-8b-instruct__request_started_utc,google__gemini-2.5-flash-lite__request_ended_utc,meta-llama__llama-4-maverick__request_ended_utc,openai__gpt-4o-mini__request_ended_utc,qwen__qwen3-vl-8b-instruct__request_ended_utc,google__gemini-2.5-flash-lite__latency_seconds,meta-llama__llama-4-maverick__latency_seconds,openai__gpt-4o-mini__latency_seconds,qwen__qwen3-vl-8b-instruct__latency_seconds,google__gemini-2.5-flash-lite__error,meta-llama__llama-4-maverick__error,openai__gpt-4o-mini__error,qwen__qwen3-vl-8b-instruct__error,created_utc
m39198_1,Textilhandel des Kaufmanns Ulrich Meltinger,b4f086b7c0c6bd41afcc74d20b9f0faea334495543c6c36ff5ef54292387be76,Flussdiagramm: Geschäftstätigkeiten des Basler Kaufmanns Ulrich Meltinger zwischen 1468 und 1493.,"Handelsbeziehungen von Ulrich Meltinger: Import und Export von Textilien zwischen Oberrheinregion und anderen Gebieten, u.a. England, Flandern und Frankfurt.","Diagramm zur Handelsaktivität von Ulrich Meltinger, einem Basler Kaufmann des späten 15. Jahrhunderts. Es zeigt die Handelsbeziehungen und -wege zu verschiedenen Regionen, einschließlich Flandern, England und Frankfurt am Main. Verbindungen zu regionalen Produzenten wie Schäfern, Hutmachern und Tuchmachern sind hervorgehoben.","Handelsnetz von Ulrich Meltinger (1468–1493): Verbindung von Produktionszentren (Flandern, England, Elsass) über Frankfurt mit Vertriebsorten in Basel, Zürich, Freiburg und Solothurn.",stop,stop,stop,stop,1892,2037,26106,1258,29,36,75,62,1921,2073,26181,1320,0.0002008,0.00047982,0.0039609,0.00013164,Google,Fireworks,OpenAI,Novita,1761082735,1761082745,1761082742,1761082740,gen-1761082735-zjbNP7Cj9vGG1mOJq2JA,gen-1761082744-qW8TkfdE4ISoAqTArdjB,gen-1761082742-lQHTfhBUDXbqOvr4Y9UX,gen-1761082739-pQzAluR9V9m7fxgVHcY0,2025-10-21T21:38:55+00:00,2025-10-21T21:39:04+00:00,2025-10-21T21:39:02+00:00,2025-10-21T21:38:59+00:00,2025-10-21T21:38:59+00:00,2025-10-21T21:39:11+00:00,2025-10-21T21:39:04+00:00,2025-10-21T21:39:02+00:00,4.598077,6.804995,2.440597,2.267621,,,,,2025-10-21T21:39:33+00:00
m82972,"Anteil der Life-Science-Industrie am Wirtschaftswachstum, 2000–2010",70a877ac8360e5abf9e73bf14349e0b5102b7f82e99803a8120778e989830b84,"Streudiagramm: Anteil der Life-Science-Industrie am BIP und deren durchschnittliche jährliche Wachstumsrate zwischen 2000 und 2010. Region Basel mit höchstem Anteil, Schanghai mit höchster Wachstumsrate.","Anteil der Life Sciences am regionalen BIP und Wachstum der Life Sciences 2000-2010, Vergleich von Zürich, San Francisco Bay Area, Genf, Singapur, Schanghai, Cambridge (Massachusetts) und Basel.",Karte mit kreisförmigen Diagrammen zum durchschnittlichen jährlichen Wachstum der Life-Science-Industrie 2000–2010. Region Basel zeigt den höchsten Anteil am regionalen Wirtschaftswachstum. Größere Kreise repräsentieren höhere Wachstumsraten in Städten wie Schanghai und Cambridge. Beschriftungen nennen die Städte und Werte für den Anteil der Life Sciences am jährlichen Wachstum.,"Region Basel: höchster Anteil der Life Sciences am regionalen Wirtschaftswachstum (ca. 17%), deutlich über anderen Standorten wie Singapur oder Cambridge.",stop,stop,stop,stop,2493,1688,26177,1271,52,48,85,40,2545,1736,26262,1311,0.00010189,0.000282,0.00397755,0.00025638,Google,DeepInfra,Azure,DeepInfra,1761082635,1761082651,1761082647,1761082638,gen-1761082635-V3Qb1D1kToDBiZ6lafIN,gen-1761082651-rV3RGPx7Wdpu0Er2UkbI,gen-1761082640-ycxLC6yicTJPYW0n1ObI,gen-1761082637-vWIiXaLtDdtPExHYMNhf,2025-10-21T21:37:15+00:00,2025-10-21T21:37:30+00:00,2025-10-21T21:37:20+00:00,2025-10-21T21:37:17+00:00,2025-10-21T21:37:17+00:00,2025-10-21T21:37:34+00:00,2025-10-21T21:37:30+00:00,2025-10-21T21:37:20+00:00,2.275685,3.179989,10.724296,2.21815,,,,,2025-10-21T21:39:33+00:00
m88415_1,"Publikumszahlen an Konzerten und FCB-Spielen im St. Jakob-Stadion, 1960–2022",ab3654079973894e949bfe3d1feb52d80f86daffb6f4098f146fd09cd0f0de5a,"Diagramm: Publikumszahlen am St. Jakob-Stadion 1960–2022. Blaue Balken zeigen FCB-Spiele, gelbe Konzerte.","Balkendiagramm: Zuschauerzahlen von FC Basel (blau) und Konzerten (gelb) im St. Jakob-Stadion, 1960–2022. Höchstwerte bei Fußballspielen ab 2001 im neuen St. Jakob-Park, Einbruch 2020 durch Corona-Pandemie.","Balkendiagramm mit den Publikumszahlen an Konzerten (gelbe Balken) und FCB-Spielen (blaue Balken) im St. Jakob-Stadion von 1960 bis 2022. Deutliche Schwankungen sind erkennbar, insbesondere in den 1980er-Jahren mit einem Rückgang der Zuschauerzahlen. Ein Anstieg der FCB-Besucherzahlen ab 2001 ist zu beobachten, der Höhepunkt liegt in den Jahren 2014 bis 2018. Ein markanter Rückgang ist 2020 sichtbar, bedingt durch die Corona-Pandemie.","St. Jakob-Stadion: Vergleich Publikumszahlen Konzerte vs. FCB-Spiele 1960–2022. Blaue Säulen: FCB-Spiele, gelbe Säulen: Konzerte. 1980er: niedrige Besucherzahlen für FCB, höhere für Konzerte. 2001: Neubau St. Jakob-Park, FCB-Zuschauerzahlen steigen. 2020: Einbruch durch Corona.",stop,stop,stop,stop,2569,1830,14901,1175,39,66,127,123,2608,1896,15028,1298,0.0002725,0.0007164,0.00231135,0.0001555,Google,Google,OpenAI,Novita,1761082578,1761082587,1761082584,1761082580,gen-1761082578-BdA3J8TLZirzOAjUvm5l,gen-1761082587-beZUOTksatpkmGWEh3OV,gen-1761082583-be2jBJ99jgF7Uez2ciJ2,gen-1761082580-hSftcsgWBa5DPyWYQ944,2025-10-21T21:36:17+00:00,2025-10-21T21:36:27+00:00,2025-10-21T21:36:23+00:00,2025-10-21T21:36:20+00:00,2025-10-21T21:36:20+00:00,2025-10-21T21:36:31+00:00,2025-10-21T21:36:27+00:00,2025-10-21T21:36:23+00:00,2.728606,3.318932,4.420688,2.622728,,,,,2025-10-21T21:39:33+00:00
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,"Karte mit lila Linien, die Korrespondenzwege von 1865 bis 1894 darstellen und ein globales Netzwerk von Basel aus zeigen.","Karte zeigt Herkunftsorte der Geschäftskorrespondenz an Forcart-Weis & Burckhardt-Wildt, 1865–1894; Basel als Zentrum mit Verbindungen nach Europa, Amerika und Asien.","Karte mit Verbindungen der Firma Forcart-Weis & Burckhardt-Wildt (1865–1894). Zentrale Orte wie Basel, Zürich und Hamburg sind hervorgehoben, unterstützt von lila Linien, die internationale Korrespondenzwege darstellen. Die Karte zeigt ein Netzwerk, das verschiedene Länder erreicht. Inklusive Städte wie New York, Londres und Konstantinopel.","Netzwerkdiagramm der Korrespondenz der Firma Forcart-Weis & Burckhardt-Wildt (1865–1894). Basel als Zentrum mit Verbindungen zu Europa, Nordamerika und Südamerika.",stop,stop,stop,stop,2467,1725,26149,1232,32,47,81,57,2499,1772,26230,1289,0.0002595,0.0006578,0.00397095,0.00012706,Google,Google,OpenAI,Novita,1761082530,1761082542,1761082538,1761082535,gen-1761082530-F2jT7cMM0wMtzp9kGBLX,gen-1761082542-OTYf04xPoJ25UpP7NI5H,gen-1761082538-gcry89NSrkaCXRvUnyMZ,gen-1761082535-v8SSsIixL6Q4sxRv8yrq,2025-10-21T21:35:30+00:00,2025-10-21T21:35:42+00:00,2025-10-21T21:35:38+00:00,2025-10-21T21:35:35+00:00,2025-10-21T21:35:35+00:00,2025-10-21T21:35:45+00:00,2025-10-21T21:35:42+00:00,2025-10-21T21:35:38+00:00,5.417452,2.819444,4.208854,2.383255,,,,,2025-10-21T21:39:33+00:00
m91960,"‹Gegen den Eisenbahnhandel›, anonyme antisemitische Karikatur in der Extraausgabe der Basler ‹Allgemeinen Schweizer Zeitung› vom 14. Februar 1898",0d9bda9d71b444b9e86109aa65150f8576cb7397fd7bf6d0e84ee72e08913b4f,Antisemitische Karikatur: Links zwingt Helvetia einen jüdischen Kapitalisten sein Nein zur Eisenbahnverstaatlichung durchzusetzen. Rechts bittet eine weibliche Figur den Kapitalisten flehentlich um Geld.,Antisemitische Karikatur zur Eisenbahnverstaatlichung 1898. Links: Wehrhafte Helvetia zwingt knienden Geldverleiher nieder. Rechts: Kniende Helvetia bittet reichen Juden um Geld. Kontrastdarstellung zum Volksentscheid über die Eisenbahnverstaatlichung.,"Antisemitische Karikatur aus der Basler ‹Allgemeinen Schweizer Zeitung› von 1898. Links kniet eine wehrhafte Helvetia vor einem ausländischen Kapitalisten, der Geld verlangt. Rechts bittet eine mädchenhafte Helvetia ihn um Finanzkapital. Die Darstellung thematisiert die Kontroverse um die Verstaatlichung der Eisenbahn und nutzt stereotype Eigenschaften.","Karikatur zeigt zwei Szenarien: links Helvetia zwingt jüdischen Kapitalisten in die Knie, rechts bittet sie um Geld. Antisemitisches Stereotyp in politischer Kampagne gegen Eisenbahnverstaatlichung.",stop,stop,stop,stop,2451,1671,14828,1125,45,66,84,61,2496,1737,14912,1186,0.0002631,0.00029025,0.0022746,0.0001205,Google,DeepInfra,OpenAI,Novita,1761082751,1761082762,1761082759,1761082757,gen-1761082751-PIbMSqoR9KtRkXRJYfuY,gen-1761082762-8IqYopShZ5UBXOyJ6vRk,gen-1761082759-LPwkFzWt1uazkPDPgoRM,gen-1761082757-PdDv6Ld0Dk7mBa4qw4s9,2025-10-21T21:39:11+00:00,2025-10-21T21:39:22+00:00,2025-10-21T21:39:19+00:00,2025-10-21T21:39:17+00:00,2025-10-21T21:39:17+00:00,2025-10-21T21:39:24+00:00,2025-10-21T21:39:22+00:00,2025-10-21T21:39:19+00:00,6.147106,2.454465,2.936554,1.990737,,,,,2025-10-21T21:39:33+00:00
m92357,Fasnachtszettel der Vereinigten Spalemer,9771aec96d784bcfaed396ce78a55161774ede7de5d3105efe8b0f1ff60a9268,"Fasnachtszettel der Vereinigten Spalemer von 1901 über die Zuwanderung nach Basel, mit provokanten Bezeichnungen für verschiedene Gruppen.","Vereinte Spalemer 1901: Karikatur zur Bevölkerung von Basel, unterteilt in ""Basler Bürger"", ""Katzenstreker"", ""Rübliländer"", ""Türken"", ""Vo Drausse"" und ""Orang-Utang""; Gesamteinwohnerzahl 112615.","Fasnachtszettel der Vereinigten Spalemer von 1901, thematisiert die Zuwanderung nach Basel. Aufgelistet sind verschiedene Gruppen: Basler Bürger, Katzenstreker, Zürihagle, Mutze, Rübliländer und andere. Die Begriffe „Türken“ und „Orang-Utang“ bleiben unklar. Grafische Darstellung mit einer humorvollen Note.","Fasnachtszettel der Vereinigten Spalemer, 1901. Karikatur zur Bevölkerungszählung von Basel-Stadt: «Vo Drausse rai» (Basler), «Katzenstreker», «Mutze», «Rübliländer»; unklar: «Türken», «Orang-Utang». Einwohnerzahl: 112615.",stop,stop,stop,stop,1935,1668,26160,1265,34,65,85,97,1969,1733,26245,1362,0.0002071,0.0003726,0.003975,0.00029463,Google,Groq,OpenAI,DeepInfra,1761082625,1761082634,1761082630,1761082627,gen-1761082624-dgafp67BmOB6JP6hL34Q,gen-1761082634-xjMXkiJFr0HUYoYTeH9C,gen-1761082630-rSL3kpI0R2LJnkfj5g2Q,gen-1761082627-Ev63GB9GUv7MeBgiFNEA,2025-10-21T21:37:04+00:00,2025-10-21T21:37:14+00:00,2025-10-21T21:37:10+00:00,2025-10-21T21:37:07+00:00,2025-10-21T21:37:07+00:00,2025-10-21T21:37:15+00:00,2025-10-21T21:37:14+00:00,2025-10-21T21:37:10+00:00,2.714065,0.735607,4.395415,2.892692,,,,,2025-10-21T21:39:33+00:00
m92410,Faltblatt der Gruppe ‹Freiräume für Frauen› (FFF),cc4290d1d64ae3d9d97232972911a3ef085aa4d16b33e3384b5d5dff1a0a0461,"Faltblatt der Gruppe ‹Freiräume für Frauen› (FFF) von 1992. Zwei Personen gehen eine Treppe hinunter, Frau mit Zigarette, Mann mit Sonnenbrille und Händen in den Hosentaschen.","Mann steht selbstsicher auf einer Treppe, während eine Frau daneben ängstlich wirkt.","Zwei Personen bewegen sich eine Treppe hinunter. Eine Frau in einem oversized Outfit mit langen, offenen Haaren geht mit neutralem Gesichtsausdruck, während ein Mann im gestreiften Hemd mit Sonnenbrille und selbstbewusstem Auftreten nach oben schaut. Im Hintergrund ist ein Gewässer zu sehen, umgeben von einem Geländer. Die Szene vermittelt eine Momentaufnahme im öffentlichen Raum.","Zwei Personen auf Brüstung: Frau sitzend, blickträge, Mann stehend, selbstbewusst. Schwarzweiß, 1992. FFF-Faltblatt zur Gleichstellung im öffentlichen Raum.",stop,stop,stop,stop,2316,1542,26031,1039,49,22,81,54,2365,1564,26112,1093,7.237e-05,0.000565,0.00395325,0.00011012,Google,Google,OpenAI,Novita,1761082613,1761082622,1761082617,1761082615,gen-1761082613-PlOcYvWUg4F8oj62hwVV,gen-1761082622-VR3dcwkkmamMji4S3MQo,gen-1761082617-iLOVqVFFrV4hXFo2e1hU,gen-1761082615-M446Q0RLbmjnPracurMx,2025-10-21T21:36:53+00:00,2025-10-21T21:37:02+00:00,2025-10-21T21:36:57+00:00,2025-10-21T21:36:55+00:00,2025-10-21T21:36:55+00:00,2025-10-21T21:37:04+00:00,2025-10-21T21:37:02+00:00,2025-10-21T21:36:57+00:00,2.56366,2.219941,4.742772,2.149081,,,,,2025-10-21T21:39:33+00:00
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,"Splitter einer Bombe. Dunkler, unregelmässiger Stein mit angehängter Kette und Haken.","Zwei dunkle Bombensplitter, mit rostiger Kette verbunden, 1815.","Splitter einer Bombe aus der Festung Hüningen, 1815. Dunkler, kantiger Bombensplitter mit einer metallenen Kette, die daran befestigt ist. Die Oberfläche ist rustikal und zeigt Spuren von Gebrauch.","Rostiger Eisenfragment mit Kette, vermutlich Bombenteil aus der Festung Hüningen, 1815.",stop,stop,stop,stop,2399,1600,26101,1201,25,21,48,29,2424,1621,26149,1230,0.0002499,0.00028985,0.00394395,0.00023619,Google,Novita,OpenAI,DeepInfra,1761082545,1761082551,1761082549,1761082547,gen-1761082545-YorBhBwql2E4PfdMI1mM,gen-1761082551-B5dbtdSccvUpY7RJURiZ,gen-1761082549-VDPdjrhjOYQCjCttOZ1n,gen-1761082547-8jhIUJDIPcCOBmp0lSBE,2025-10-21T21:35:45+00:00,2025-10-21T21:35:51+00:00,2025-10-21T21:35:48+00:00,2025-10-21T21:35:47+00:00,2025-10-21T21:35:47+00:00,2025-10-21T21:35:53+00:00,2025-10-21T21:35:51+00:00,2025-10-21T21:35:48+00:00,1.932285,2.164166,2.214287,1.901913,,,,,2025-10-21T21:39:33+00:00
m94775,"‹Merkwürdige Seltenheit›, Illustration zu einer Anzeige in den ‹Wöchentlichen Nach­richten › vom 30. Oktober 1834",5da1631f2f991f5fb770321671070e0d41e7cc2a534cb219fed1f4b926b34085,Eine Illustration zeigt einen Afrikaner der Ashantee-Nation.,"Mann in traditioneller Ashanti-Tracht mit Speer und Schild, Illustration zur Anzeige der Ausstellung eines Afrikaners auf der Herbstmesse 1834.","Illustration zu einer Anzeige für eine Herbstmesse 1834, die einen afrikanischen Krieger der Ashantée zeigt. Die Anzeige stammt aus den ""Wöchentlichen Nachrichten"" und erwähnt, dass dieser Afrikaner während der Messe anwesend sein wird. Die Goldküste, heute Ghana, war in den 1820er Jahren ein Zentrum der Basler Mission.","Afrikanischer Mann in traditioneller Kleidung, aufgerufen als „Ashanté“ für eine Herbstmesse-Anzeige 1834. Textausschnitt aus einer Zeitung mit Ankündigung seiner Präsentation in Basel.",stop,stop,stop,stop,1895,1623,26122,1278,12,33,76,55,1907,1656,26198,1333,5.804e-05,0.00030396,0.0039639,0.00012974,Google,Novita,OpenAI,Novita,1761082565,1761082576,1761082570,1761082567,gen-1761082565-Wr5pxY7C2naSc0B0lE5a,gen-1761082575-ZrrVJj18Wk9NtHvUACD1,gen-1761082570-UNQnMQV1e4wJlNynDMS2,gen-1761082567-r33vcbemmF4gdUchwABp,2025-10-21T21:36:05+00:00,2025-10-21T21:36:15+00:00,2025-10-21T21:36:10+00:00,2025-10-21T21:36:07+00:00,2025-10-21T21:36:07+00:00,2025-10-21T21:36:17+00:00,2025-10-21T21:36:15+00:00,2025-10-21T21:36:10+00:00,2.318195,2.432767,5.048922,2.798469,,,,,2025-10-21T21:39:33+00:00
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,Abbruch des St. Johanns­-Schwibbogens 1874. Arbeiter auf einem Gerüst demontieren den Bogen.,"Abbruch des St. Johanns-Schwibbogens 1874, Schutt und Mauersteine liegen auf dem Boden.","Abbruch des St. Johanns-Schwibbogens, 1874. Baustelle mit Arbeiter:innen, die an der Zerstörung des mittelalterlichen Bogens und der innerstädtischen Mauer arbeiten. Im Vordergrund ist ein voll beladener Handkarren sichtbar, umgeben von Steintrümmern. Auf beiden Seiten der Straße stehen historische Gebäude.","Abbruch des St. Johanns-Schwibbogens im 19. Jahrhundert. Steinbogen mit Bruchstücken und Arbeitern; Umgebung städtisch, Gebäude an beiden Seiten.",stop,stop,stop,stop,1963,2116,26175,1380,29,27,77,48,1992,2143,26252,1428,0.0002079,0.00034035,0.00397245,0.0001344,Google,Parasail,OpenAI,Novita,1761082553,1761082562,1761082558,1761082555,gen-1761082553-UNacwDmioqDUs1JMJEyY,gen-1761082562-7gUqSbt6T0tgUYTGjWUi,gen-1761082558-4iHswYBRV5fKEd9V39AF,gen-1761082555-bGJrff0E5eotWkRxEYYW,2025-10-21T21:35:53+00:00,2025-10-21T21:36:02+00:00,2025-10-21T21:35:58+00:00,2025-10-21T21:35:55+00:00,2025-10-21T21:35:55+00:00,2025-10-21T21:36:05+00:00,2025-10-21T21:36:02+00:00,2025-10-21T21:35:58+00:00,2.473378,2.457656,4.591017,2.311486,,,,,2025-10-21T21:39:33+00:00
