objectid,submission_seed,time_elapsed_s,rank_google/gemini-2.5-flash-lite,rank_meta-llama/llama-4-maverick,rank_openai/gpt-4o-mini,rank_qwen/qwen3-vl-8b-instruct
m20435,3369992133,255.458,1,3,4,2
m28635,3369992133,50.353,1,3,2,4
m94271,3369992133,34.471,1,3,4,2
m12965,3369992133,86.922,2,1,3,4
m91960,3369992133,61.109,4,2,3,1
m37716,3369992133,37.525,2,1,4,3
m92357,3369992133,88.565,1,2,3,4
m95804,3369992133,31.183,2,3,4,1
m34620,3369992133,92.638,2,1,4,3
m15298_1,3369992133,39.66,1,2,4,3
m94775,3369992133,45.249,4,2,3,1
m92410,3369992133,40.534,1,3,2,4
m37030_1,3369992133,34.284,1,4,2,3
m22924,3369992133,62.349,1,4,2,3
m29084,3369992133,30.087,2,1,4,3
m88415_1,3369992133,52.771,1,2,4,3
m39198_1,3369992133,18.0,1,2,4,3
m13176,3369992133,27.236,1,2,4,3
m39198_1,2419306062,343.425,4,1,3,2
m29084,2419306062,105.394,2,4,3,1
m91960,2419306062,213.069,3,1,4,2
m95804,2419306062,71.648,2,3,4,1
m92410,2419306062,178.318,1,2,3,4
m15298_1,2419306062,97.507,3,2,4,1
m28635,2419306062,91.808,2,1,3,4
m37030_1,2419306062,140.918,2,3,1,4
m22924,2419306062,183.711,3,4,2,1
m88415_1,2419306062,125.928,3,2,4,1
m91000_1,2419306062,88.304,2,1,4,3
m94271,2419306062,90.08,1,4,2,3
m20435,2419306062,72.152,3,1,4,2
m12965,2419306062,79.823,2,1,4,3
m34620,2419306062,104.848,4,3,2,1
m37716,2419306062,62.481,4,3,1,2
m13176,2419306062,89.43,4,3,2,1
m82972,2419306062,95.408,1,2,3,4
m94775,2419306062,67.502,4,2,3,1
m92357,2419306062,91.663,1,2,4,3
m12965,2173697984,50.988,3,4,1,2
m29084,2173697984,27.532,3,4,1,2
m20435,2173697984,57.533,4,2,1,3
m28635,2173697984,33.217,4,3,1,2
m37030_1,2173697984,34.515,3,2,1,4
m37716,2173697984,30.781,3,4,1,2
m91960,2173697984,51.464,2,1,3,4
m34620,2173697984,21.45,2,4,1,3
m88415_1,2173697984,48.865,4,2,1,3
m39198_1,2173697984,51.963,4,3,1,2
m94775,2173697984,24.115,4,3,1,2
m15298_1,2173697984,28.736,4,3,1,2
m92357,2173697984,29.765,4,2,1,3
m94271,2173697984,21.367,4,3,1,2
m82972,2173697984,24.298,4,2,1,3
m22924,2173697984,20.519,3,4,2,1
m95804,2173697984,19.398,3,4,1,2
m13176,2173697984,17.616,3,4,1,2
m91000_1,2173697984,20.715,4,3,1,2
m92410,2173697984,23.783,1,4,3,2
m94271,2457176173,34.838,4,3,1,2
m92410,2457176173,28.966,1,4,3,2
m91960,2457176173,43.467,3,2,1,4
m29084,2457176173,50.62,1,4,2,3
m95804,2457176173,35.582,2,4,1,3
m82972,2457176173,24.123,2,1,4,3
m15298_1,2457176173,30.64,4,2,3,1
m39198_1,2457176173,18.113,4,3,1,2
m28635,2457176173,21.307,3,4,1,2
m37716,2457176173,51.001,3,4,2,1
m88415_1,2457176173,37.563,4,2,3,1
m20435,2457176173,52.141,2,4,3,1
m94775,2457176173,34.896,4,3,1,2
m12965,2457176173,32.072,3,4,1,2
m92357,2457176173,35.453,4,2,3,1
m91000_1,2457176173,20.185,4,3,2,1
m37030_1,2457176173,25.294,1,2,3,4
m22924,2457176173,42.061,4,1,3,2
m13176,2457176173,38.975,2,4,1,3
m34620,2457176173,25.347,3,2,4,1
m94775,2382306859,68.285,4,1,2,3
m94271,2382306859,36.465,4,2,1,3
m82972,2382306859,82.194,1,3,4,2
m28635,2382306859,41.717,4,2,1,3
m12965,2382306859,45.048,2,3,1,4
m13176,2382306859,39.445,4,3,1,2
m22924,2382306859,40.185,2,4,3,1
m88415_1,2382306859,63.382,4,3,1,2
m37716,2382306859,31.099,4,3,2,1
m92410,2382306859,43.015,3,2,4,1
m29084,2382306859,58.115,2,4,1,3
m15298_1,2382306859,52.399,4,3,1,2
m91960,2382306859,77.916,4,2,1,3
m92357,2382306859,79.497,3,2,1,4
m20435,2382306859,44.267,3,1,2,4
m91000_1,2382306859,68.246,4,3,2,1
m34620,2382306859,66.117,3,4,2,1
m39198_1,2382306859,40.302,4,3,2,1
m37030_1,2382306859,66.334,3,2,1,4
m95804,2382306859,57.132,3,4,2,1
m82972,2971381377,681.316,4,3,1,2
m88415_1,2971381377,523.689,4,3,2,1
m37030_1,2971381377,351.543,1,4,2,3
m29084,2971381377,216.308,3,4,2,1
m37716,2971381377,112.648,4,3,1,2
m34620,2971381377,127.832,2,4,3,1
m20435,2971381377,37.387,3,2,4,1
m13176,2971381377,56.855,4,2,3,1
m92410,2971381377,58.405,4,2,1,3
m91000_1,2971381377,57.839,1,3,4,2
m94775,2971381377,45.504,2,3,4,1
m91960,2971381377,81.788,2,3,4,1
m22924,2971381377,118.476,3,1,2,4
m95804,2971381377,40.812,4,3,1,2
m15298_1,2971381377,50.142,1,4,2,3
m94271,2971381377,32.149,3,1,4,2
m92357,2971381377,79.408,3,1,2,4
m12965,2971381377,38.071,3,4,2,1
m39198_1,2971381377,59.366,4,3,1,2
m28635,2971381377,55.324,2,1,4,3
m88415_1,1747867431,135.154,4,2,1,3
m20435,1747867431,250.822,1,4,3,2
m94775,1747867431,80.022,4,3,1,2
m92410,1747867431,52.214,1,4,2,3
m92357,1747867431,160.881,1,2,3,4
m34620,1747867431,138.311,3,4,2,1
m82972,1747867431,79.93,1,3,2,4
m91000_1,1747867431,43.365,4,2,3,1
m15298_1,1747867431,111.496,4,3,1,2
m94271,1747867431,28.789,3,4,1,2
m39198_1,1747867431,118.576,4,3,2,1
m37716,1747867431,29.617,4,3,1,2
m13176,1747867431,51.078,4,3,2,1
m28635,1747867431,61.285,2,4,1,3
m91960,1747867431,114.63,3,1,4,2
m37030_1,1747867431,63.566,1,4,3,2
m12965,1747867431,44.809,3,4,1,2
m29084,1747867431,130.307,3,4,2,1
m95804,1747867431,38.311,4,1,2,3
m22924,1747867431,62.641,4,1,2,3
m34620,2218793671,68.456,3,4,2,1
m92410,2218793671,94.212,3,1,2,4
m15298_1,2218793671,61.291,3,2,1,4
m22924,2218793671,59.144,4,1,2,3
m37716,2218793671,51.191,3,4,2,1
m29084,2218793671,38.683,2,4,3,1
m39198_1,2218793671,30.061,4,2,1,3
m82972,2218793671,75.134,1,2,3,4
m37030_1,2218793671,33.479,3,4,2,1
m12965,2218793671,94.032,4,1,2,3
m91000_1,2218793671,68.454,4,1,2,3
m91960,2218793671,84.645,3,4,1,2
m28635,2218793671,44.376,4,2,1,3
m94775,2218793671,39.125,3,4,2,1
m92357,2218793671,32.441,3,2,4,1
m13176,2218793671,57.971,4,2,3,1
m20435,2218793671,81.833,2,4,1,3
m95804,2218793671,26.82,2,3,4,1
m94271,2218793671,55.729,1,4,2,3
m88415_1,2218793671,58.661,4,3,1,2
m22924,2112929238,53.925,1,3,4,2
m91960,2112929238,177.933,3,1,4,2
m88415_1,2112929238,78.141,4,3,2,1
m91000_1,2112929238,67.924,3,2,4,1
m37716,2112929238,84.946,1,2,4,3
m94775,2112929238,49.854,4,3,2,1
m20435,2112929238,58.223,1,4,2,3
m82972,2112929238,50.458,1,4,2,3
m15298_1,2112929238,53.098,3,2,1,4
m39198_1,2112929238,40.8,4,3,2,1
m37030_1,2112929238,48.067,4,2,1,3
m13176,2112929238,44.686,3,2,4,1
m29084,2112929238,40.097,2,4,1,3
m92410,2112929238,96.718,1,3,2,4
m12965,2112929238,47.584,3,1,2,4
m92357,2112929238,61.961,1,3,2,4
m28635,2112929238,36.404,3,2,1,4
m34620,2112929238,111.584,1,2,4,3
m95804,2112929238,46.595,3,4,1,2
m94271,2112929238,29.633,1,4,3,2
